"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"5QUC6JWZ","journalArticle","2004","Moita, Marta A. P.; Rosis, Svetlana; Zhou, Yu; LeDoux, Joseph E.; Blair, Hugh T.","Putting Fear in Its Place: Remapping of Hippocampal Place Cells during Fear Conditioning","Journal of Neuroscience","","0270-6474, 1529-2401","10.1523/JNEUROSCI.5492-03.2004","https://www.jneurosci.org/content/24/31/7015","We recorded hippocampal place cells in two spatial environments: a training environment in which rats underwent fear conditioning and a neutral control environment. Fear conditioning caused many place cells to alter (or remap) their preferred firing locations in the training environment, whereas most cells remained stable in the control environment. This finding indicates that aversive reinforcement can induce place cell remapping even when the environment itself remains unchanged. Furthermore, contextual fear conditioning caused significantly more remapping of place cells than auditory fear conditioning, suggesting that place cell remapping was related to the rat's learned fear of the environment. These results suggest that one possible function of place cell remapping may be to generate new spatial representations of a single environment, which could help the animal to discriminate among different motivational contexts within that environment.","2004-08-04","2024-03-19 20:45:32","2024-03-19 20:45:32","2024-03-19 20:45:32","7015-7023","","31","24","","J. Neurosci.","Putting Fear in Its Place","","","","","","","en","Copyright © 2004 Society for Neuroscience 0270-6474/04/247015-09.00/0","","","","www.jneurosci.org","","Publisher: Society for Neuroscience Section: Behavioral/Systems/Cognitive PMID: 15295037","","/Users/raymond/Zotero/storage/L5IHA2I7/Moita et al. - 2004 - Putting Fear in Its Place Remapping of Hippocampa.pdf; ","http://www.ncbi.nlm.nih.gov/pubmed/15295037","","activity; aversion; CA1; conditioned (conditioning); extracellular; hippocampus; learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K8KBEMVM","journalArticle","1996","O'Keefe, John; Burgess, Neil","Geometric determinants of the place fields of hippocampal neurons","Nature","","1476-4687","10.1038/381425a0","https://www.nature.com/articles/381425a0","THE human hippocampus has been implicated in memory1, in particular episodic2,3 or declarative4 memory. In rats, hippocampal lesions cause selective spatial deficits2,5–7, and hippocampal complex spike cells (place cells) exhibit spatially localized firing8,9, suggesting a role in spatial memory2, although broader functions have also been suggested10,11. Here we report the identification of the environmental features controlling the location and shape of the receptive fields (place fields) of the place cells. This was done by recording from the same cell in four rectangular boxes that differed solely in the length of one or both sides. Most of our results are explained by a model in which the place field is formed by the summation of gaussian tuning curves, each oriented perpendicular to a box wall and peaked at a fixed distance from it.","1996-05","2024-03-19 20:45:51","2024-03-19 20:45:51","2024-03-19 20:45:51","425-428","","6581","381","","","","","","","","","","en","1996 Springer Nature Limited","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/raymond/Zotero/storage/M64U46QF/O'Keefe and Burgess - 1996 - Geometric determinants of the place fields of hipp.pdf","","","Humanities and Social Sciences; multidisciplinary; Science","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WQC24AQY","journalArticle","2020","Robinson, Nick T. M.; Descamps, Lucie A. L.; Russell, Lloyd E.; Buchholz, Moritz O.; Bicknell, Brendan A.; Antonov, Georgy K.; Lau, Joanna Y. N.; Nutbrown, Rebecca; Schmidt-Hieber, Christoph; Häusser, Michael","Targeted Activation of Hippocampal Place Cells Drives Memory-Guided Spatial Behavior","Cell","","0092-8674","10.1016/j.cell.2020.09.061","https://www.sciencedirect.com/science/article/pii/S0092867420313027","The hippocampus is crucial for spatial navigation and episodic memory formation. Hippocampal place cells exhibit spatially selective activity within an environment and have been proposed to form the neural basis of a cognitive map of space that supports these mnemonic functions. However, the direct influence of place cell activity on spatial navigation behavior has not yet been demonstrated. Using an ‘all-optical’ combination of simultaneous two-photon calcium imaging and two-photon optogenetics, we identified and selectively activated place cells that encoded behaviorally relevant locations in a virtual reality environment. Targeted stimulation of a small number of place cells was sufficient to bias the behavior of animals during a spatial memory task, providing causal evidence that hippocampal place cells actively support spatial navigation and memory.","2020-12-10","2024-03-19 20:46:03","2024-03-19 20:46:03","2024-03-19 20:46:03","1586-1599.e10","","6","183","","Cell","","","","","","","","","","","","","ScienceDirect","","","","/Users/raymond/Zotero/storage/JZT4ZZWN/Robinson et al. - 2020 - Targeted Activation of Hippocampal Place Cells Dri.pdf; /Users/raymond/Zotero/storage/KJLHUFKD/S0092867420313027.html","","","all-optical interrogation; behavior; hippocampus; inhibition; memory; place cell; spatial navigation; two-photon calcium imaging; two-photon optogenetics; virtual reality","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6RYFKAUK","journalArticle","2018","Wohlgemuth, Melville J.; Yu, Chao; Moss, Cynthia F.","3D Hippocampal Place Field Dynamics in Free-Flying Echolocating Bats","Frontiers in Cellular Neuroscience","","1662-5102","","https://www.frontiersin.org/articles/10.3389/fncel.2018.00270","A large body of laboratory research has investigated the process by which environmental cues are acquired and used for spatial navigation in rodents; however, the key to differentiating between species specializations and general principles lies in comparative research. Rodent research has focused on a class of neurons in the hippocampus implicated in the representation of allocentric space – termed place cells – and the process by which these representations form. One class of models of hippocampal place field formation depends on continuous theta, a low frequency brain oscillation that is prevalent in crawling rodents. Comparative studies of hippocampal activity in echolocating bats have reported many findings that parallel the rodent literature, but also describe noteworthy species differences, especially with respect to theta rhythm. Here, we first discuss studies of the bat hippocampal formation and point to gaps in our knowledge, which motivate our new lines of inquiry. We present data from the free-flying laryngeal echolocating big brown bat, which shows 3-D place cells without continuous theta, similar to reports from the lingual echolocating Egyptian fruit bat. We also report findings, which demonstrate that the animal’s control over echolocation call rate (sensory sampling) influences place field tuning. These results motivate future comparative research on hippocampal function in the context of natural sensory-guided behaviors.","2018","2024-03-19 20:46:33","2024-03-19 20:46:33","2024-03-19 20:46:33","","","","12","","","","","","","","","","","","","","","Frontiers","","","","/Users/raymond/Zotero/storage/QUXMYVFR/Wohlgemuth et al. - 2018 - 3D Hippocampal Place Field Dynamics in Free-Flying.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4LI9VFNM","preprint","2021","Jazayeri, Mehrdad; Ostojic, Srdjan","Interpreting neural computations by examining intrinsic and embedding dimensionality of neural activity","","","","10.48550/arXiv.2107.04084","http://arxiv.org/abs/2107.04084","The ongoing exponential rise in recording capacity calls for new approaches for analysing and interpreting neural data. Effective dimensionality has emerged as an important property of neural activity across populations of neurons, yet different studies rely on different definitions and interpretations of this quantity. Here we focus on intrinsic and embedding dimensionality, and discuss how they might reveal computational principles from data. Reviewing recent works, we propose that the intrinsic dimensionality reflects information about the latent variables encoded in collective activity, while embedding dimensionality reveals the manner in which this information is processed. We conclude by highlighting the role of network models as an ideal substrate for testing more specifically various hypotheses on the computational principles reflected through intrinsic and embedding dimensionality.","2021-08-27","2024-03-19 20:47:39","2024-03-19 20:47:39","2024-03-19 20:47:39","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2107.04084 [q-bio]","","/Users/raymond/Zotero/storage/B5BMXVID/Jazayeri and Ostojic - 2021 - Interpreting neural computations by examining intr.pdf; /Users/raymond/Zotero/storage/EPFR8556/2107.html","","","Quantitative Biology - Neurons and Cognition","","","","","","","","","","","","","","","","","","","arXiv:2107.04084","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3IHMZH8B","journalArticle","2020","Gallego, Juan A.; Perich, Matthew G.; Chowdhury, Raeed H.; Solla, Sara A.; Miller, Lee E.","Long-term stability of cortical population dynamics underlying consistent behavior","Nature Neuroscience","","1546-1726","10.1038/s41593-019-0555-4","https://www.nature.com/articles/s41593-019-0555-4","Animals readily execute learned behaviors in a consistent manner over long periods of time, and yet no equally stable neural correlate has been demonstrated. How does the cortex achieve this stable control? Using the sensorimotor system as a model of cortical processing, we investigated the hypothesis that the dynamics of neural latent activity, which captures the dominant co-variation patterns within the neural population, must be preserved across time. We recorded from populations of neurons in premotor, primary motor and somatosensory cortices as monkeys performed a reaching task, for up to 2 years. Intriguingly, despite a steady turnover in the recorded neurons, the low-dimensional latent dynamics remained stable. The stability allowed reliable decoding of behavioral features for the entire timespan, while fixed decoders based directly on the recorded neural activity degraded substantially. We posit that stable latent cortical dynamics within the manifold are the fundamental building blocks underlying consistent behavioral execution.","2020-02","2024-03-19 20:48:18","2024-03-19 20:48:18","2024-03-19 20:48:18","260-270","","2","23","","Nat Neurosci","","","","","","","","en","2020 The Author(s), under exclusive licence to Springer Nature America, Inc.","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/raymond/Zotero/storage/9RCSASUV/Gallego et al. - 2020 - Long-term stability of cortical population dynamic.pdf","","","Computational neuroscience; Neuroscience","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YARGS7ZY","journalArticle","2019","Shine, James M.; Breakspear, Michael; Bell, Peter T.; Ehgoetz Martens, Kaylena A.; Shine, Richard; Koyejo, Oluwasanmi; Sporns, Olaf; Poldrack, Russell A.","Human cognition involves the dynamic integration of neural activity and neuromodulatory systems","Nature Neuroscience","","1546-1726","10.1038/s41593-018-0312-0","https://www.nature.com/articles/s41593-018-0312-0","The human brain integrates diverse cognitive processes into a coherent whole, shifting fluidly as a function of changing environmental demands. Despite recent progress, the neurobiological mechanisms responsible for this dynamic system-level integration remain poorly understood. Here we investigated the spatial, dynamic, and molecular signatures of system-wide neural activity across a range of cognitive tasks. We found that neuronal activity converged onto a low-dimensional manifold that facilitates the execution of diverse task states. Flow within this attractor space was associated with dissociable cognitive functions, unique patterns of network-level topology, and individual differences in fluid intelligence. The axes of the low-dimensional neurocognitive architecture aligned with regional differences in the density of neuromodulatory receptors, which in turn relate to distinct signatures of network controllability estimated from the structural connectome. These results advance our understanding of functional brain organization by emphasizing the interface between neural activity, neuromodulatory systems, and cognitive function.","2019-02","2024-03-19 20:49:44","2024-03-19 20:49:44","2024-03-19 20:49:44","289-296","","2","22","","Nat Neurosci","","","","","","","","en","2019 The Author(s), under exclusive licence to Springer Nature America, Inc.","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/raymond/Zotero/storage/RYCDL2KM/Shine et al. - 2019 - Human cognition involves the dynamic integration o.pdf","","","Cognitive neuroscience; Dynamic networks; Gene expression","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DVCE85KX","journalArticle","2018","Remington, Evan D.; Narain, Devika; Hosseini, Eghbal A.; Jazayeri, Mehrdad","Flexible Sensorimotor Computations through Rapid Reconfiguration of Cortical Dynamics","Neuron","","0896-6273","10.1016/j.neuron.2018.05.020","https://www.sciencedirect.com/science/article/pii/S0896627318304185","Neural mechanisms that support flexible sensorimotor computations are not well understood. In a dynamical system whose state is determined by interactions among neurons, computations can be rapidly reconfigured by controlling the system’s inputs and initial conditions. To investigate whether the brain employs such control mechanisms, we recorded from the dorsomedial frontal cortex of monkeys trained to measure and produce time intervals in two sensorimotor contexts. The geometry of neural trajectories during the production epoch was consistent with a mechanism wherein the measured interval and sensorimotor context exerted control over cortical dynamics by adjusting the system’s initial condition and input, respectively. These adjustments, in turn, set the speed at which activity evolved in the production epoch, allowing the animal to flexibly produce different time intervals. These results provide evidence that the language of dynamical systems can be used to parsimoniously link brain activity to sensorimotor computations.","2018-06-06","2024-03-19 20:50:19","2024-03-19 20:50:19","2024-03-19 20:50:19","1005-1019.e5","","5","98","","Neuron","","","","","","","","","","","","","ScienceDirect","","","","/Users/raymond/Zotero/storage/3WCYRZYC/Remington et al. - 2018 - Flexible Sensorimotor Computations through Rapid R.pdf; /Users/raymond/Zotero/storage/ENLM2Q62/S0896627318304185.html","","","cognitive flexibility; Dynamical Systems; electrophysiology; frontal cortex; motor planning; population coding; recurrent neural networks; sensorimotor coordination; timing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y6I7S9RW","preprint","2018","Low, Ryan J.; Lewallen, Sam; Aronov, Dmitriy; Nevers, Rhino; Tank, David W.","Probing variability in a cognitive map using manifold inference from neural dynamics","","","","10.1101/418939","https://www.biorxiv.org/content/10.1101/418939v2","Hippocampal neurons fire selectively in local behavioral contexts such as the position in an environment or phase of a task,1-3 and are thought to form a cognitive map of task-relevant variables.1,4,5 However, their activity varies over repeated behavioral conditions,6 such as different runs through the same position or repeated trials. Although widely observed across the brain,7-10 such variability is not well understood, and could reflect noise or structure, such as the encoding of additional cognitive information.6,11-13 Here, we introduce a conceptual model to explain variability in terms of underlying, population-level structure in single-trial neural activity. To test this model, we developed a novel unsupervised learning algorithm incorporating temporal dynamics, in order to characterize population activity as a trajectory on a nonlinear manifold—a space of possible network states. The manifold’s structure captures correlations between neurons and temporal relationships between states, constraints arising from underlying network architecture and inputs. Using measurements of activity over time but no information about exogenous behavioral variables, we recovered hippocampal activity manifolds during spatial and non-spatial cognitive tasks in rats. Manifolds were low-dimensional and smoothly encoded task-related variables, but contained an extra dimension reflecting information beyond the measured behavioral variables. Consistent with our model, neurons fired as a function of overall network state, and fluctuations in their activity across trials corresponded to variation in the underlying trajectory on the manifold. In particular, the extra dimension allowed the system to take different trajectories despite repeated behavioral conditions. Furthermore, the trajectory could temporarily decouple from current behavioral conditions and traverse neighboring manifold points corresponding to past, future, or nearby behavioral states. Our results suggest that trial-to-trial variability in the hippocampus is structured, and may reflect the operation of internal cognitive processes. The manifold structure of population activity is well-suited for organizing information to support memory,1,5,14 planning,12,15,16 and reinforcement learning.17,18 In general, our approach could find broader use in probing the organization and computational role of circuit dynamics in other brain regions.","2018-09-20","2024-03-19 20:50:44","2024-03-19 20:50:52","2024-03-19 20:50:44","","","","","","","","","","","","bioRxiv","","en","© 2018, Posted by Cold Spring Harbor Laboratory. This pre-print is available under a Creative Commons License (Attribution-NonCommercial-NoDerivs 4.0 International), CC BY-NC-ND 4.0, as described at http://creativecommons.org/licenses/by-nc-nd/4.0/","","","","bioRxiv","","Pages: 418939 Section: New Results","","/Users/raymond/Zotero/storage/QZVBRSTD/Low et al. - 2018 - Probing variability in a cognitive map using manif.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IYANZK22","journalArticle","2016","Elsayed, Gamaleldin F.; Lara, Antonio H.; Kaufman, Matthew T.; Churchland, Mark M.; Cunningham, John P.","Reorganization between preparatory and movement population responses in motor cortex","Nature Communications","","2041-1723","10.1038/ncomms13239","https://www.nature.com/articles/ncomms13239","Neural populations can change the computation they perform on very short timescales. Although such flexibility is common, the underlying computational strategies at the population level remain unknown. To address this gap, we examined population responses in motor cortex during reach preparation and movement. We found that there exist exclusive and orthogonal population-level subspaces dedicated to preparatory and movement computations. This orthogonality yielded a reorganization in response correlations: the set of neurons with shared response properties changed completely between preparation and movement. Thus, the same neural population acts, at different times, as two separate circuits with very different properties. This finding is not predicted by existing motor cortical models, which predict overlapping preparation-related and movement-related subspaces. Despite orthogonality, responses in the preparatory subspace were lawfully related to subsequent responses in the movement subspace. These results reveal a population-level strategy for performing separate but linked computations.","2016-10-27","2024-03-19 20:51:16","2024-03-19 20:51:16","2024-03-19 20:51:16","13239","","1","7","","Nat Commun","","","","","","","","en","2016 The Author(s)","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/raymond/Zotero/storage/9TJ62RGJ/Elsayed et al. - 2016 - Reorganization between preparatory and movement po.pdf","","","Computational neuroscience; Motor cortex","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3U3BPYV5","journalArticle","2015","Peyrache, Adrien; Lacroix, Marie M.; Petersen, Peter C.; Buzsáki, György","Internally organized mechanisms of the head direction sense","Nature Neuroscience","","1546-1726","10.1038/nn.3968","https://www.nature.com/articles/nn.3968","Recording from population of head-direction cells across brain states, the authors provide experimental demonstration of the existence of internally organized attractor: the sequential activity of head direction neurons observed in the waking mouse persists during sleep, and this 'neuronal compass' always points toward well-defined directions.","2015-04","2024-03-19 20:51:36","2024-03-19 20:51:36","2024-03-19 20:51:36","569-575","","4","18","","Nat Neurosci","","","","","","","","en","2015 Springer Nature America, Inc.","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/raymond/Zotero/storage/W9URKQ7J/Peyrache et al. - 2015 - Internally organized mechanisms of the head direct.pdf","","","Navigation; Replay; Thalamus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5NAI9GCS","journalArticle","2012","Dabaghian, Y.; Mémoli, F.; Frank, L.; Carlsson, G.","A Topological Paradigm for Hippocampal Spatial Map Formation Using Persistent Homology","PLoS Computational Biology","","1553-7358","10.1371/journal.pcbi.1002581","https://dx.plos.org/10.1371/journal.pcbi.1002581","An animal's ability to navigate through space rests on its ability to create a mental map of its environment. The hippocampus is the brain region centrally responsible for such maps, and it has been assumed to encode geometric information (distances, angles). Given, however, that hippocampal output consists of patterns of spiking across many neurons, and downstream regions must be able to translate those patterns into accurate information about an animal's spatial environment, we hypothesized that 1) the temporal pattern of neuronal firing, particularly co-firing, is key to decoding spatial information, and 2) since co-firing implies spatial overlap of place fields, a map encoded by co-firing will be based on connectivity and adjacency, i.e., it will be a topological map. Here we test this topological hypothesis with a simple model of hippocampal activity, varying three parameters (firing rate, place field size, and number of neurons) in computer simulations of rat trajectories in three topologically and geometrically distinct test environments. Using a computational algorithm based on recently developed tools from Persistent Homology theory in the field of algebraic topology, we find that the patterns of neuronal co-firing can, in fact, convey topological information about the environment in a biologically realistic length of time. Furthermore, our simulations reveal a “learning region” that highlights the interplay between the parameters in combining to produce hippocampal states that are more or less adept at map formation. For example, within the learning region a lower number of neurons firing can be compensated by adjustments in firing rate or place field size, but beyond a certain point map formation begins to fail. We propose that this learning region provides a coherent theoretical lens through which to view conditions that impair spatial learning by altering place cell firing rates or spatial specificity.","2012-08-09","2024-03-19 20:52:16","2024-03-19 20:52:16","2024-03-19 20:52:16","e1002581","","8","8","","PLoS Comput Biol","","","","","","","","en","","","","","Semantic Scholar","","","","/Users/raymond/Zotero/storage/V572K9BS/Dabaghian et al. - 2012 - A Topological Paradigm for Hippocampal Spatial Map.pdf; ","https://www.semanticscholar.org/paper/A-Topological-Paradigm-for-Hippocampal-Spatial-Map-Dabaghian-M%C3%A9moli/b6f7a064873abe84f77be33fdfc53bdb73dfe18d","","","Fiete, Ila","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4Y9WGQDB","journalArticle","2009","Yu, Byron M.; Cunningham, John P.; Santhanam, Gopal; Ryu, Stephen I.; Shenoy, Krishna V.; Sahani, Maneesh","Gaussian-process factor analysis for low-dimensional single-trial analysis of neural population activity","Journal of Neurophysiology","","0022-3077","10.1152/jn.90941.2008","","We consider the problem of extracting smooth, low-dimensional neural trajectories that summarize the activity recorded simultaneously from many neurons on individual experimental trials. Beyond the benefit of visualizing the high-dimensional, noisy spiking activity in a compact form, such trajectories can offer insight into the dynamics of the neural circuitry underlying the recorded activity. Current methods for extracting neural trajectories involve a two-stage process: the spike trains are first smoothed over time, then a static dimensionality-reduction technique is applied. We first describe extensions of the two-stage methods that allow the degree of smoothing to be chosen in a principled way and that account for spiking variability, which may vary both across neurons and across time. We then present a novel method for extracting neural trajectories-Gaussian-process factor analysis (GPFA)-which unifies the smoothing and dimensionality-reduction operations in a common probabilistic framework. We applied these methods to the activity of 61 neurons recorded simultaneously in macaque premotor and motor cortices during reach planning and execution. By adopting a goodness-of-fit metric that measures how well the activity of each neuron can be predicted by all other recorded neurons, we found that the proposed extensions improved the predictive ability of the two-stage methods. The predictive ability was further improved by going to GPFA. From the extracted trajectories, we directly observed a convergence in neural state during motor planning, an effect that was shown indirectly by previous studies. We then show how such methods can be a powerful tool for relating the spiking activity across a neural population to the subject's behavior on a single-trial basis. Finally, to assess how well the proposed methods characterize neural population activity when the underlying time course is known, we performed simulations that revealed that GPFA performed tens of percent better than the best two-stage method.","2009-07","2024-03-19 20:53:01","2024-03-19 20:53:01","","614-635","","1","102","","J Neurophysiol","","","","","","","","eng","","","","","PubMed","","PMID: 19357332 PMCID: PMC2712272","","/Users/raymond/Zotero/storage/6L6QNPB8/Yu et al. - 2009 - Gaussian-process factor analysis for low-dimension.pdf; ","http://www.ncbi.nlm.nih.gov/pubmed/19357332","","Action Potentials; Animals; Models, Neurological; Nerve Net; Neural Networks, Computer; Neurons; Nonlinear Dynamics; Normal Distribution; Principal Component Analysis; Reaction Time; Signal Processing, Computer-Assisted; Time Factors","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BAPYW5GC","journalArticle","2008","Singh, Gurjeet; Memoli, Facundo; Ishkhanov, Tigran; Sapiro, Guillermo; Carlsson, Gunnar; Ringach, Dario L.","Topological analysis of population activity in visual cortex","Journal of Vision","","1534-7362","10.1167/8.8.11","https://doi.org/10.1167/8.8.11","Information in the cortex is thought to be represented by the joint activity of neurons. Here we describe how fundamental questions about neural representation can be cast in terms of the topological structure of population activity. A new method, based on the concept of persistent homology, is introduced and applied to the study of population activity in primary visual cortex (V1). We found that the topological structure of activity patterns when the cortex is spontaneously active is similar to those evoked by natural image stimulation and consistent with the topology of a two sphere. We discuss how this structure could emerge from the functional organization of orientation and spatial frequency maps and their mutual relationship. Our findings extend prior results on the relationship between spontaneous and evoked activity in V1 and illustrates how computational topology can help tackle elementary questions about the representation of information in the nervous system.","2008-06-30","2024-03-19 20:53:54","2024-03-19 20:53:54","2024-03-19 20:53:53","11","","8","8","","Journal of Vision","","","","","","","","","","","","","Silverchair","","","","/Users/raymond/Zotero/storage/AIKX8XHY/Singh et al. - 2008 - Topological analysis of population activity in vis.pdf; /Users/raymond/Zotero/storage/P9QIYHWR/article.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X6PQGG8J","journalArticle","2018","Ólafsdóttir, H. Freyja; Bush, Daniel; Barry, Caswell","The Role of Hippocampal Replay in Memory and Planning","Current Biology","","09609822","10.1016/j.cub.2017.10.073","https://linkinghub.elsevier.com/retrieve/pii/S0960982217314410","Semantic Scholar extracted view of ""The Role of Hippocampal Replay in Memory and Planning"" by H. F. Ólafsdóttir et al.","2018-01","2024-03-19 20:54:42","2024-03-19 20:54:42","2024-03-19 20:54:42","R37-R50","","1","28","","Current Biology","","","","","","","","en","","","","","Semantic Scholar","","","","/Users/raymond/Zotero/storage/RYE3QBIJ/Ólafsdóttir et al. - 2018 - The Role of Hippocampal Replay in Memory and Plann.pdf; ","https://www.semanticscholar.org/paper/The-Role-of-Hippocampal-Replay-in-Memory-and-%C3%93lafsd%C3%B3ttir-Bush/0b07dd216dee7696e5e670fcd755188c892d23c7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W63A57JW","journalArticle","2018","Joo, Hannah R.; Frank, Loren M.","The hippocampal sharp wave–ripple in memory retrieval for immediate use and consolidation","Nature Reviews Neuroscience","","1471-003X, 1471-0048","10.1038/s41583-018-0077-1","https://www.nature.com/articles/s41583-018-0077-1","Various cognitive functions have long been known to require the hippocampus. Recently, progress has been made in identifying the hippocampal neural activity patterns that implement these functions. One such pattern is the sharp wave–ripple (SWR), an event associated with highly synchronous neural firing in the hippocampus and modulation of neural activity in distributed brain regions. Hippocampal spiking during SWRs can represent past or potential future experience, and SWR-related interventions can alter subsequent memory performance. These findings and others suggest that SWRs support both memory consolidation and memory retrieval for processes such as decision-making. In addition, studies have identified distinct types of SWR based on representational content, behavioural state and physiological features. These various findings regarding SWRs suggest that different SWR types correspond to different cognitive functions, such as retrieval and consolidation. Here, we introduce another possibility — that a single SWR may support more than one cognitive function. Taking into account classic psychological theories and recent molecular results that suggest that retrieval and consolidation share mechanisms, we propose that the SWR mediates the retrieval of stored representations that can be utilized immediately by downstream circuits in decision-making, planning, recollection and/or imagination while simultaneously initiating memory consolidation processes. Sharp wave–ripples (SWRs) are specific neural activity patterns in the hippocampus that are thought to support memory. In this Review, Hannah Joo and Loren Frank explore where and when SWRs are generated and propose a revised view of the role of these activity patterns in memory functions.","2018-12","2024-03-19 20:55:42","2024-03-19 20:55:42","2024-03-19 20:55:42","744-757","","12","19","","Nat Rev Neurosci","","","","","","","","en","","","","","Semantic Scholar","","","","/Users/raymond/Zotero/storage/BGM7LSWS/Joo and Frank - 2018 - The hippocampal sharp wave–ripple in memory retrie.pdf; ","https://www.semanticscholar.org/paper/The-hippocampal-sharp-wave%E2%80%93ripple-in-memory-for-use-Joo-Frank/bdf26032c2141733d6493f864a03a52780e993cf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TIPMF6V6","journalArticle","2017","Roux, Lisa; Hu, Bo; Eichler, Ronny; Stark, Eran; Buzsáki, György","Sharp wave ripples during learning stabilize the hippocampal spatial map","Nature Neuroscience","","1097-6256, 1546-1726","10.1038/nn.4543","https://www.nature.com/articles/nn.4543","Cognitive representation of the environment requires a stable hippocampal map, but the mechanisms maintaining a given map are unknown. Because sharp wave-ripples (SPW-R) orchestrate both retrospective and prospective spatial information, we hypothesized that disrupting neuronal activity during SPW-Rs affects spatial representation. Mice learned new sets of three goal locations daily in a multiwell maze. We used closed-loop SPW-R detection at goal locations to trigger optogenetic silencing of a subset of CA1 pyramidal neurons. Control place cells (nonsilenced or silenced outside SPW-Rs) largely maintained the location of their place fields after learning and showed increased spatial information content. In contrast, the place fields of SPW-R-silenced place cells remapped, and their spatial information remained unaltered. SPW-R silencing did not impact the firing rates or proportions of place cells. These results suggest that interference with SPW-R-associated activity during learning prevents stabilization and refinement of hippocampal maps.","2017-06","2024-03-19 20:58:14","2024-03-19 20:58:14","2024-03-19 20:58:14","845-853","","6","20","","Nat Neurosci","","","","","","","","en","","","","","Semantic Scholar","","","","/Users/raymond/Zotero/storage/JS9YE9QY/Roux et al. - 2017 - Sharp wave ripples during learning stabilize the h.pdf; ","https://www.semanticscholar.org/paper/Sharp-wave-ripples-during-learning-stabilize-map-Roux-Hu/a384cd50b1cf2716e33014544d29621580769b06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
